masked_fivegram,training_document_frequency,training_document_pct,countries_present
support her family in their,7132,0.541666,10
save enough money to expand,7124,0.541059,5
her children are in school,7103,0.539464,28
enough money to send her,7090,0.538476,9
all of her children are,7084,0.538021,24
care of her family name,7082,0.537869,21
school she started this business,7077,0.537489,8
representing her group of amt,7066,0.536654,3
for amt years and also,7060,0.536198,15
to use the profit she,7060,0.536198,15
you will help by funding,7060,0.536198,6
improve her family living conditions,7059,0.536122,31
the mother of amt children,7053,0.535666,33
her family name runs retail,7052,0.53559,3
years name would like to,7050,0.535438,12
the quality of her harvest,7047,0.535211,9
two children she is married,7041,0.534755,11
of the farmers in the,7028,0.533768,5
amt years and also earns,7005,0.532021,4
money to send her children,6997,0.531413,9
asking for loan with kiva,6995,0.531261,5
hopes you will help by,6985,0.530502,6
is asking for loan with,6979,0.530046,15
children one of whom is,6976,0.529818,30
he has been able to,6962,0.528755,31
in this business for six,6959,0.528527,25
loan with kiva partner org,6948,0.527692,5
use the profit she earns,6948,0.527692,13
in the area of loc,6942,0.527236,11
is requesting loan of amt,6935,0.526704,25
the profit she earns to,6930,0.526325,14
loan will help her to,6929,0.526249,35
she has requested amt loan,6924,0.525869,3
are currently in school name,6901,0.524122,11
loc she has requested amt,6894,0.52359,3
amt year old man who,6893,0.523514,35
for amt years now in,6892,0.523439,12
he is married and has,6892,0.523439,30
currently attending school she started,6886,0.522983,3
this is her first loan,6876,0.522223,26
amt years now in the,6871,0.521844,5
year old entrepreneur who works,6870,0.521768,3
with five children she is,6862,0.52116,22
old woman who lives in,6845,0.519869,27
married woman amt years old,6842,0.519641,18
years old and has one,6835,0.519109,29
he is asking for loan,6829,0.518654,26
loan to buy farming inputs,6821,0.518046,16
is married woman amt years,6806,0.516907,19
to request loan to buy,6792,0.515844,18
old married and has three,6776,0.514628,37
loan to purchase seeds and,6771,0.514249,17
her primary customers are locals,6763,0.513641,6
and her primary customers are,6761,0.513489,8
is very hardworking entrepreneur she,6755,0.513034,3
how to sell from her,6743,0.512122,3
learned how to sell from,6742,0.512046,3
the area of loc loc,6740,0.511894,4
the loc she has been,6723,0.510603,4
best quality fertilizer and hybrid,6717,0.510148,4
the best quality fertilizer and,6717,0.510148,4
years old he is married,6706,0.509312,28
is borrowing kiva loan to,6700,0.508856,5
is asking for loan for,6696,0.508553,20
amt years old married with,6695,0.508477,32
plans to use this loan,6695,0.508477,32
get the best quality fertilizer,6686,0.507793,4
quality fertilizer and hybrid seeds,6674,0.506882,4
to purchase seeds and fertilizer,6664,0.506122,14
of her children are in,6663,0.506046,28
family in the future she,6658,0.505667,20
income to support her family,6648,0.504907,29
married woman with five children,6643,0.504527,28
of her children are currently,6643,0.504527,12
which she hopes to invest,6638,0.504148,4
to invest back into her,6636,0.503996,10
invest back into her farm,6627,0.503312,4
area and her primary customers,6626,0.503236,7
loan through org in order,6625,0.50316,6
woman amt years old with,6619,0.502705,7
five children she is very,6614,0.502325,12
and the kiva community for,6613,0.502249,6
is married and has four,6606,0.501717,36
items to sell such as,6603,0.501489,16
the kiva community for their,6597,0.501034,7
group because she wanted to,6596,0.500958,3
name is married woman amt,6566,0.498679,15
is married with three children,6552,0.497616,36
works very hard for her,6546,0.49716,6
very hard for her family,6540,0.496705,5
to get the best quality,6527,0.495717,6
old married and has two,6526,0.495641,35
for loan through org loc,6525,0.495565,4
to expand to large scale,6513,0.494654,3
who works very hard for,6476,0.491844,6
save enough money to send,6470,0.491388,5
sell she has been in,6468,0.491236,16
social interest on her loan,6463,0.490857,5
the past amt years she,6451,0.489945,31
old name from loc she,6449,0.489793,5
to improve her family living,6434,0.488654,32
loc branch she is married,6405,0.486452,3
this business to take care,6392,0.485464,9
now having joined the program,6391,0.485388,3
will enable her to improve,6386,0.485008,24
started this business to take,6383,0.484781,4
years now having joined the,6377,0.484325,3
kiva community for their support,6363,0.483262,5
would like loan of amt,6347,0.482046,7
she was born in amt,6341,0.481591,11
hard for her family she,6313,0.479464,9
in school at the moment,6289,0.477641,7
married and has five children,6271,0.476274,38
to kiva and org loc,6261,0.475515,3
is married with amt children,6257,0.475211,35
of her family in the,6251,0.474755,21
born in amt in loc,6209,0.471566,5
years old and has amt,6206,0.471338,26
business she has been in,6188,0.469971,25
children she earns living by,6188,0.469971,17
applying for this loan to,6182,0.469515,22
to expand her business in,6181,0.469439,34
amt years she has been,6173,0.468831,29
with amt other family members,6173,0.468831,5
access to quality training and,6168,0.468452,3
and married with six children,6166,0.4683,28
able to save enough to,6152,0.467236,12
old and has one child,6147,0.466857,26
have access to quality training,6145,0.466705,3
has been farmer for amt,6143,0.466553,16
is amt years old single,6141,0.466401,37
is applying for this loan,6140,0.466325,24
and has four children she,6136,0.466021,35
been farmer for amt years,6131,0.465642,16
of her family name runs,6131,0.465642,4
in order to increase her,6129,0.46549,35
she will use the loan,6127,0.465338,37
woman with five children she,6125,0.465186,22
years her business is located,6122,0.464958,11
the amt loan to buy,6109,0.463971,3
business challenge to be inadequate,6102,0.463439,7
this loan will not only,6098,0.463135,15
is married with two children,6097,0.463059,35
old and married with six,6086,0.462224,25
to be inadequate working capital,6075,0.461388,7
challenge to be inadequate working,6065,0.460629,7
asking for loan for the,6055,0.459869,10
in good area and her,6055,0.459869,6
requesting this loan to buy,6053,0.459718,31
to kiva and their lenders,6053,0.459718,5
of loc for the past,6046,0.459186,12
currently in school name is,6039,0.458654,6
old and has amt children,6038,0.458578,25
her family save the money,6032,0.458123,5
for loan in the amount,6027,0.457743,14
bigger business in the future,6026,0.457667,10
in school she is in,6026,0.457667,12
the amount of amt org,6021,0.457287,19
asking for loan of amt,6007,0.456224,18
to sell and other supplies,5999,0.455616,3
she has requested loan of,5995,0.455313,16
that she will be able,5993,0.455161,36
of rice to sell name,5992,0.455085,4
grateful to kiva and their,5987,0.454705,4
has three children who are,5982,0.454325,30
years old and married name,5980,0.454173,14
to have access to quality,5979,0.454097,5
two children who are in,5979,0.454097,25
and other farm supplies name,5975,0.453794,3
to earn enough to feed,5972,0.453566,7
with this new loan she,5970,0.453414,20
hopes to run bigger business,5965,0.453034,6
be thankful to their lenders,5948,0.451743,4
will be thankful to their,5948,0.451743,4
interest on her loan by,5947,0.451667,5
enable her to improve her,5944,0.451439,23
is married and has one,5943,0.451363,36
she wants to expand her,5943,0.451363,35
on her loan by volunteering,5923,0.449844,5
family she is married woman,5920,0.449616,3
lives with his family in,5915,0.449237,22
group will use this loan,5911,0.448933,4
and has positive credit history,5909,0.448781,4
are in school she has,5903,0.448325,25
is amt year old single,5900,0.448097,37
often described as an extremely,5898,0.447946,4
toilet for her family she,5898,0.447946,3
profits from this season to,5897,0.44787,4
children are still in school,5896,0.447794,19
is representing her group of,5892,0.44749,5
sell and other supplies needed,5892,0.44749,3
for her business name has,5889,0.447262,13
name works hard to provide,5889,0.447262,18
run bigger business in the,5888,0.447186,7
farmer to support her family,5884,0.446882,4
to run bigger business in,5884,0.446882,7
she lives with her family,5882,0.44673,34
is requesting kiva loan to,5866,0.445515,20
she aspires to save enough,5863,0.445287,3
she will use the amt,5861,0.445135,10
the group will use this,5860,0.445059,3
she says that the extra,5859,0.444984,7
day to day life significantly,5853,0.444528,4
amt years old she has,5848,0.444148,34
has business buying and selling,5847,0.444072,12
years old and single with,5846,0.443996,21
in amt in loc loc,5842,0.443692,3
training and acquire new farming,5841,0.443616,3
quality training and acquire new,5840,0.44354,3
is happy to have made,5838,0.443389,4
and acquire new farming methods,5834,0.443085,3
is asking for loan from,5833,0.443009,25
is member of org microfinance,5832,0.442933,3
to expand her business she,5830,0.442781,36
as farmer to support her,5826,0.442477,4
is seeking loan to purchase,5823,0.442249,25
old married and the mother,5815,0.441642,32
products to sell in her,5810,0.441262,22
be used to purchase more,5807,0.441034,22
is borrowing amt org through,5807,0.441034,4
borrowing amt org through org,5796,0.440199,4
happy to have made that,5790,0.439743,4
to have made that decision,5790,0.439743,4
of the group will also,5778,0.438832,5
hopes to use the profits,5771,0.4383,15
send his children to school,5765,0.437844,23
returning this season to work,5762,0.437616,5
amt years old and the,5759,0.437389,36
to send his children to,5759,0.437389,27
good area and her primary,5758,0.437313,6
this season to work with,5754,0.437009,4
loan through org loc kiva,5753,0.436933,5
school she is in the,5753,0.436933,16
to grow her business and,5747,0.436477,35
and other items to sell,5741,0.436022,20
the program in amt and,5739,0.43587,3
name from loc she is,5732,0.435338,8
care of her family in,5730,0.435186,13
enterprise development and financial management,5730,0.435186,3
is returning this season to,5725,0.434806,5
hopes this will help her,5721,0.434503,15
purchase seeds and fertilizer to,5719,0.434351,11
two of her children are,5716,0.434123,28
and has three children who,5715,0.434047,33
to quality training and acquire,5711,0.433743,3
loan to buy more stock,5707,0.433439,27
are currently attending school she,5699,0.432832,10
have made that decision because,5699,0.432832,4
this loan to purchase seeds,5698,0.432756,9
region of loc for the,5694,0.432452,4
of loc in the loc,5693,0.432376,5
